time/s	mode	Capacity/mA.h	(Q-Qo)/mA.h	Ewe/V	cycle number	
2.080000147454775E+003	1	2.181435280594839E+000	-2.181435280594839E+000	2.4395711E+000	0.000000000000000E+000
2.110000146696912E+003	1	2.213050300372826E+000	-2.213050300372826E+000	2.4398577E+000	0.000000000000000E+000
2.140000145939048E+003	1	2.244665235350834E+000	-2.244665235350834E+000	2.4399531E+000	0.000000000000000E+000
2.170000145181184E+003	1	2.276280040156855E+000	-2.276280040156855E+000	2.4402204E+000	0.000000000000000E+000
2.200000144423320E+003	1	2.307894897471256E+000	-2.307894897471256E+000	2.4403541E+000	0.000000000000000E+000
2.230000143665457E+003	1	2.339509773488985E+000	-2.339509773488985E+000	2.4406786E+000	0.000000000000000E+000
2.260000142907593E+003	1	2.371124646491011E+000	-2.371124646491011E+000	2.4409649E+000	0.000000000000000E+000
2.290000142149729E+003	1	2.402739582186341E+000	-2.402739582186341E+000	2.4411559E+000	0.000000000000000E+000
2.320000141391865E+003	1	2.434354573128276E+000	-2.434354573128276E+000	2.4413087E+000	0.000000000000000E+000
2.350000140634002E+003	1	2.465969487250063E+000	-2.465969487250063E+000	2.4414613E+000	0.000000000000000E+000
2.380000139876138E+003	1	2.497584385397222E+000	-2.497584385397222E+000	2.4416332E+000	0.000000000000000E+000
2.410000139118274E+003	1	2.529199239553955E+000	-2.529199239553955E+000	2.4418814E+000	0.000000000000000E+000
2.440000138360410E+003	1	2.560814049652868E+000	-2.560814049652868E+000	2.4420915E+000	0.000000000000000E+000
2.470000137602547E+003	1	2.592428863310603E+000	-2.592428863310602E+000	2.4422634E+000	0.000000000000000E+000
2.500000136844683E+003	1	2.624043656879346E+000	-2.624043656879345E+000	2.4425306E+000	0.000000000000000E+000
2.530000136086819E+003	1	2.655658526025296E+000	-2.655658526025295E+000	2.4426641E+000	0.000000000000000E+000
2.560000135328955E+003	1	2.687273477176243E+000	-2.687273477176242E+000	2.4429507E+000	0.000000000000000E+000
2.590000134571092E+003	1	2.718888512163242E+000	-2.718888512163242E+000	2.4431224E+000	0.000000000000000E+000
2.620000133813228E+003	1	2.750503405380541E+000	-2.750503405380540E+000	2.4433899E+000	0.000000000000000E+000
2.650000133055364E+003	1	2.782118322282686E+000	-2.782118322282685E+000	2.4435234E+000	0.000000000000000E+000
2.680000132297500E+003	1	2.813733171137824E+000	-2.813733171137823E+000	2.4435234E+000	0.000000000000000E+000
2.710000131539637E+003	1	2.845348075147735E+000	-2.845348075147735E+000	2.4436381E+000	0.000000000000000E+000
2.740000130781773E+003	1	2.876962926822305E+000	-2.876962926822305E+000	2.4437907E+000	0.000000000000000E+000
2.770000130023909E+003	1	2.908577683141669E+000	-2.908577683141669E+000	2.4439435E+000	0.000000000000000E+000
2.800000129266045E+003	1	2.940192424049510E+000	-2.940192424049510E+000	2.4440198E+000	0.000000000000000E+000
2.830000128508182E+003	1	2.971807180176271E+000	-2.971807180176271E+000	2.4442108E+000	0.000000000000000E+000
2.860000127750318E+003	1	3.003421857902355E+000	-3.003421857902355E+000	2.4443445E+000	0.000000000000000E+000
2.890000126992454E+003	1	3.035036564915273E+000	-3.035036564915273E+000	2.4444208E+000	0.000000000000000E+000
2.920000126234590E+003	1	3.066651301485843E+000	-3.066651301485843E+000	2.4445927E+000	0.000000000000000E+000
2.950000125476727E+003	1	3.098265997114552E+000	-3.098265997114552E+000	2.4449363E+000	0.000000000000000E+000
2.980000124718863E+003	1	3.129880708352937E+000	-3.129880708352937E+000	2.4452226E+000	0.000000000000000E+000
3.010000123960999E+003	1	3.161495412161284E+000	-3.161495412161284E+000	2.4451845E+000	0.000000000000000E+000
3.040000123203135E+003	1	3.193110191692869E+000	-3.193110191692869E+000	2.4454899E+000	0.000000000000000E+000
3.070000122445272E+003	1	3.224724882710126E+000	-3.224724882710126E+000	2.4454708E+000	0.000000000000000E+000
3.100000121687408E+003	1	3.256339577993248E+000	-3.256339577993247E+000	2.4456999E+000	0.000000000000000E+000
3.130000120929544E+003	1	3.287954342471481E+000	-3.287954342471481E+000	2.4458337E+000	0.000000000000000E+000
3.160000120171680E+003	1	3.319569122855266E+000	-3.319569122855266E+000	2.4459100E+000	0.000000000000000E+000
3.190000119413817E+003	1	3.351183967226148E+000	-3.351183967226148E+000	2.4456236E+000	0.000000000000000E+000
3.220000118655953E+003	1	3.382798741335485E+000	-3.382798741335485E+000	2.4455283E+000	0.000000000000000E+000
3.250000117898089E+003	1	3.414413638189501E+000	-3.414413638189501E+000	2.4456427E+000	0.000000000000000E+000
3.280000117140225E+003	1	3.446028654937003E+000	-3.446028654937003E+000	2.4457190E+000	0.000000000000000E+000
3.310000116382362E+003	1	3.477643562077085E+000	-3.477643562077085E+000	2.4456618E+000	0.000000000000000E+000
3.340000115624498E+003	1	3.509258444322149E+000	-3.509258444322149E+000	2.4457190E+000	0.000000000000000E+000
3.370000114866634E+003	1	3.540873432265719E+000	-3.540873432265719E+000	2.4459100E+000	0.000000000000000E+000
3.400000114108771E+003	1	3.572488401398354E+000	-3.572488401398354E+000	2.4460819E+000	0.000000000000000E+000
3.430000113350907E+003	1	3.604103423929400E+000	-3.604103423929400E+000	2.4458528E+000	0.000000000000000E+000
3.460000112593043E+003	1	3.635718350780103E+000	-3.635718350780103E+000	2.4458909E+000	0.000000000000000E+000
3.490000111835179E+003	1	3.667333317542633E+000	-3.667333317542632E+000	2.4459865E+000	0.000000000000000E+000
3.520000111077316E+003	1	3.698948345246620E+000	-3.698948345246620E+000	2.4460247E+000	0.000000000000000E+000
3.550000110319452E+003	1	3.730563335864478E+000	-3.730563335832861E+000	2.4461582E+000	0.000000000000000E+000
3.580000109561588E+003	1	3.762178225259993E+000	-3.762178224790202E+000	2.4463110E+000	0.000000000000000E+000
3.610000108803724E+003	1	3.793793076780942E+000	-3.793793075869441E+000	2.4463682E+000	0.000000000000000E+000
3.640000108045861E+003	1	3.825407906614821E+000	-3.825407905264192E+000	2.4463682E+000	0.000000000000000E+000
3.670000107287997E+003	1	3.857022789682071E+000	-3.857022787891587E+000	2.4464445E+000	0.000000000000000E+000
3.700000106530133E+003	1	3.888637713984569E+000	-3.888637711752415E+000	2.4465210E+000	0.000000000000000E+000
3.730000105772269E+003	1	3.920252643746589E+000	-3.920252641071531E+000	2.4467502E+000	0.000000000000000E+000
3.760000105014406E+003	1	3.951867596910053E+000	-3.951867593796796E+000	2.4467502E+000	0.000000000000000E+000
3.790000104256542E+003	1	3.983482613228639E+000	-3.983482609673129E+000	2.4467883E+000	0.000000000000000E+000
3.820000103498678E+003	1	4.015097529599958E+000	-4.015097525607453E+000	2.4466546E+000	0.000000000000000E+000
3.850000102740814E+003	1	4.046712426883698E+000	-4.046712422451337E+000	2.4467883E+000	0.000000000000000E+000
3.880000101982951E+003	1	4.078327290099502E+000	-4.078327285228358E+000	2.4467692E+000	0.000000000000000E+000
3.910000101225087E+003	1	4.109942114808692E+000	-4.109942109501680E+000	2.4467120E+000	0.000000000000000E+000
3.940000100467223E+003	1	4.141557079630507E+000	-4.141557073883467E+000	2.4466736E+000	0.000000000000000E+000
3.970000099709359E+003	1	4.173171957178632E+000	-4.173171950988584E+000	2.4468455E+000	0.000000000000000E+000
4.000000098951496E+003	1	4.204786812617328E+000	-4.204786805988153E+000	2.4468074E+000	0.000000000000000E+000
4.030000098193632E+003	1	4.236401601678875E+000	-4.236401594611459E+000	2.4466927E+000	0.000000000000000E+000
4.060000097435768E+003	1	4.268016286176403E+000	-4.268016278670099E+000	2.4468074E+000	0.000000000000000E+000
4.090000096677904E+003	1	4.299631168914305E+000	-4.299631160968688E+000	2.4469028E+000	0.000000000000000E+000
4.120000096235759E+003	1	4.331246005183472E+000	-4.331245996799257E+000	2.4469218E+000	0.000000000000000E+000
4.150000095872543E+003	1	4.362860789705396E+000	-4.362860780881829E+000	2.4469602E+000	0.000000000000000E+000
4.180000095509327E+003	1	4.394475539212054E+000	-4.394475529949639E+000	2.4468646E+000	0.000000000000000E+000
4.210000095146112E+003	1	4.426090374098698E+000	-4.426090364397168E+000	2.4469218E+000	0.000000000000000E+000
4.240000094782896E+003	1	4.457705214708487E+000	-4.457705204567591E+000	2.4469793E+000	0.000000000000000E+000
4.270000094419680E+003	1	4.489320127293375E+000	-4.489320116713272E+000	2.4470937E+000	0.000000000000000E+000
4.300000094056464E+003	1	4.520934940871663E+000	-4.520934929853598E+000	2.4469411E+000	0.000000000000000E+000
4.330000093693248E+003	1	4.552549761669000E+000	-4.552549750210815E+000	2.4471893E+000	0.000000000000000E+000
4.360000093330033E+003	1	4.584164552628650E+000	-4.584164540734675E+000	2.4469411E+000	0.000000000000000E+000
4.390000092966817E+003	1	4.615779370312969E+000	-4.615779357980304E+000	2.4469602E+000	0.000000000000000E+000
4.420000092603601E+003	1	4.647394176342673E+000	-4.647394163569292E+000	2.4469984E+000	0.000000000000000E+000
4.450000092240385E+003	1	4.679009092524317E+000	-4.679009079311662E+000	2.4472656E+000	0.000000000000000E+000
4.480000091877169E+003	1	4.710624093019591E+000	-4.710624079365876E+000	2.4472466E+000	0.000000000000000E+000
4.510000091513954E+003	1	4.742239090968171E+000	-4.742239076871130E+000	2.4475710E+000	0.000000000000000E+000
4.540000091150738E+003	1	4.773854013389084E+000	-4.773853998849710E+000	2.4474947E+000	0.000000000000000E+000
4.570000090787522E+003	1	4.805468865962426E+000	-4.805468850981712E+000	2.4474947E+000	0.000000000000000E+000
4.600000090424306E+003	1	4.837083770527071E+000	-4.837083755106052E+000	2.4475520E+000	0.000000000000000E+000
4.630000090061090E+003	1	4.868698625974483E+000	-4.868698610115342E+000	2.4476857E+000	0.000000000000000E+000
4.660000089697875E+003	1	4.900313543268800E+000	-4.900313526970426E+000	2.4479148E+000	0.000000000000000E+000
4.690000089334659E+003	1	4.931928405740791E+000	-4.931928389001184E+000	2.4480674E+000	0.000000000000000E+000
4.720000088971443E+003	1	4.963543225577686E+000	-4.963543208399071E+000	2.4480293E+000	0.000000000000000E+000
4.750000088608227E+003	1	4.995158015304698E+000	-4.995157997685909E+000	2.4481630E+000	0.000000000000000E+000
4.780000088245011E+003	1	5.026772839022027E+000	-5.026772820963939E+000	2.4480484E+000	0.000000000000000E+000
4.810000087881795E+003	1	5.058387755407903E+000	-5.058387736910780E+000	2.4480102E+000	0.000000000000000E+000
4.840000087518580E+003	1	5.090002669733498E+000	-5.090002650794029E+000	2.4481249E+000	0.000000000000000E+000
4.870000087155364E+003	1	5.121617654282875E+000	-5.121617634905153E+000	2.4481440E+000	0.000000000000000E+000
